School_Code,Year,Department_Code,Major_Name,Major_Code,Admission_Quota,Cutoff_Score,Subject_Combinations,Program_Type,Note
NLU,2025,KTE,Kinh doanh nông nghiệp,7620114,100,22.50,"A00, A01, D01, X01, X02, X25",Đại trà,
NLU,2025,KTE,Phát triển nông thôn,7620116,45,17.00,"A00, A01, D01, X01, X02, X25",Đại trà,
NLU,2025,LN,Công nghệ chế biến lâm sản,7549001,110,16.00,"A00, A01, B00, C04, D01, X04",Đại trà,
NLU,2025,LN,Lâm học,7620201,50,17.00,"B00, A00, C04, X01, D01, D08",Đại trà,
NLU,2025,LN,Lâm nghiệp đô thị,7620202,50,17.00,"B00, A00, C04, X01, D01, D08",Đại trà,
NLU,2025,LN,Quản lý tài nguyên rừng,7620211,50,17.00,"B00, A00, C04, X01, D01, D08",Đại trà,
NLU,2025,MTTN,Hệ thống thông tin,7480104,77,22.20,"A00, A01, A04, D01, D07, X26",Đại trà,
NLU,2025,MTTN,Khoa học môi trường,7440301,52,21.90,"A00, A01, A02, B00, D07, D08",Đại trà,
NLU,2025,MTTN,Kỹ thuật môi trường,7520320,40,21.10,"A00, A01, B00, D08, D07, X28",Đại trà,
NLU,2025,MTTN,Quản lý Tài nguyên và Môi trường,7850101,100,22.10,"A00, A01, B00, D08, D01, D07",Đại trà,
NLU,2025,MTTN,Tài nguyên và Du lịch Sinh thái,7859002,65,21.25,"A00, B00, B02, D01, D07, D08",Đại trà,
NLU,2025,MTTN,Cảnh quan và Kỹ thuật hoa viên,7859007,40,16.00,"A00, A02, B00, D01, D07, D08",Đại trà,
NLU,2025,NH,Nông học,7620109,200,21.50,"A00, A01, B00, A02, D07, D08",Đại trà,
NLU,2025,NH,Bảo vệ thực vật,7620112,120,21.50,"A00, A01, B00, A02, D07, D08",Đại trà,
NLU,2025,NNSP,Sư phạm kỹ thuật nông nghiệp,7140215,30,23.84,"A01, B00, D08, X12, X28, X16",Đại trà,
NLU,2025,NNSP,Ngôn ngữ Anh,7220201,103,24.90,"A01, D01, D09, D10, D14, D15",Đại trà,
NLU,2025,QLDD,Bất động sản,7340116,120,20.90,"A00, A01, C01, C04, D01, X01",Đại trà,
NLU,2025,QLDD,Quản lý đất đai,7850103,170,21.45,"A00, A01, C01, C04, D01, X01",Đại trà,
NLU,2025,QLDD,Quản lý đất đai (Chương trình nâng cao),7850103C,40,21.45,"A00, A01, C01, C04, D01, X01",CLC,
NLU,2025,TS,Công nghệ chế biến thủy sản,7540105,60,21.00,"A00, A01, B00, D01, B03, X04",Đại trà,
NLU,2025,TS,Nuôi trồng thủy sản,7620301,140,19.00,"B00, D07, D08, D01, B03, X04",Đại trà,
