School_Code,Year,Department_Code,Major_Name,Major_Code,Admission_Quota,Cutoff_Score,Subject_Combinations,Program_Type,Note
NLU,2021,KTE,Phát triển nông thôn,7620116,60,"16,00","A00, A01, D01",Đại trà,
NLU,2021,KTE,Quản trị kinh doanh,7340101,170,"24,50","A00, A01, D01",Đại trà,
NLU,2021,LN,Công nghệ chế biến lâm sản,7549001,155,"16,00","A00, A01, B00, D01",Đại trà,
NLU,2021,LN,Lâm học,7620201,80,"16,00","A00, B00, D01, D08",Đại trà,
NLU,2021,LN,Lâm nghiệp đô thị,7620202,40,"16,00","A00, B00, D01, D08",Đại trà,
NLU,2021,LN,Quản lý tài nguyên rừng,7620211,60,"16,00","A00, B00, D01, D08",Đại trà,
NLU,2021,MTTN,Cảnh quan và kỹ thuật hoa viên,7859007,120,"16,00","A00, B00, D07, D08",Đại trà,
NLU,2021,MTTN,Hệ thống thông tin,7480104,40,"23,25","A00, A01, D07",Đại trà,
NLU,2021,MTTN,Khoa học môi trường,7440301,80,"16,00","A00, A01, B00, D07",Đại trà,
NLU,2021,MTTN,Kỹ thuật môi trường,7520320,80,"16,00","A00, A01, B00, D07",Đại trà,
NLU,2021,MTTN,Quản lý tài nguyên và môi trường,7850101,110,"17,00","A00, A01, B00, D07",Đại trà,
NLU,2021,MTTN,Tài nguyên và Du lịch sinh thái,7850102,40,"17,00","A00, A01, B00, D08",Đại trà,
NLU,2021,NNSP,Ngôn ngữ Anh (*),7220201,100,"26,00","A01, D01, D14, D15",Đại trà,"Môn chính là Tiếng Anh (nhân hệ số 2), điểm xét tuyển được quy về hệ điểm 30 dành cho tổ hợp môn xét tuyển."
NLU,2021,NNSP,Sư phạm kỹ thuật nông nghiệp,7140215,45,"19,00","A00, A01, B00, D08",Đại trà,
NLU,2021,NH,Bảo vệ thực vật,7620112,85,"19,00","A00, B00, D08",Đại trà,
NLU,2021,NH,Nông học,7620109,210,"17,00","A00, B00, D08",Đại trà,
NLU,2021,QLDD,Bất động sản,7340116,90,"22,75","A00, A01, D01",Đại trà,
NLU,2021,QLDD,Quản lý đất đai,7850103,160,"21,75","A00, A01, D01",Đại trà,
NLU,2021,TS,Công nghệ chế biến thủy sản,7540105,75,"16,00","A00, B00, D07, D08",Đại trà,
NLU,2021,TS,Nuôi trồng thủy sản,7620301,170,"16,00","A00, B00, D07, D08",Đại trà,
NLU,2021,CNTY,Thú y,7640101T,30,"25,00","A00, B00, D07, D08",Tiên tiến,
NLU,2021,CNHHTP,Công nghệ thực phẩm,7540101T,60,"23,00","A00, A01, B00, D08",Tiên tiến,
NLU,2021,CK,Công nghệ kỹ thuật cơ khí,7510201C,30,"17,00","A00, A01, D07",CLC,
NLU,2021,CNHHTP,Công nghệ thực phẩm,7540101C,60,"20,00","A00, A01, B00, D08",CLC,
NLU,2021,KHSH,Công nghệ sinh học,7420201C,30,"18,00","A01, D07, D08",CLC,
NLU,2021,KTE,Quản trị kinh doanh,7340101C,50,"23,25","A00, A01, D01",CLC,
NLU,2021,MTTN,Kỹ thuật môi trường,7520320C,30,"16,00","A00, A01, B00, D07",CLC,
NLU,2022,NNSP,Sư phạm kỹ thuật nông nghiệp *,7140215,45,19,"A00, A01, B00, D08",Đại trà,"Đối với ngành Sư phạm kỹ thuật nông nghiệp: Ngoài điều kiện điểm chuẩn, phải thỏa điều kiện đảm bảo chất lượng đầu vào theo Quy chế tuyển sinh hiện hành của Bộ Giáo dục và Đào tạo."
NLU,2022,NNSP,Ngôn ngữ Anh **,7220201,127,21,"A01, D01, D14, D15",Đại trà," Đối với ngành Ngôn ngữ Anh: Môn chính là Tiếng Anh (nhân hệ số 2), quy về thang điểm 30, công thức tính:
Điểm xét tuyển = [(Điểm môn 1 + Điểm môn 2 + (Điểm Tiếng Anh x 2)) x 3/4 ] + điểm ưu tiên (nếu có)."
NLU,2022,KTE,Kinh tế,7310101,94,"21,5","A00, A01, D01",Đại trà,
NLU,2022,KTE,Quản trị kinh doanh,7340101,172,21,"A00, A01, D01",Đại trà,
NLU,2022,KTE,Bất động sản,7340116,88,18,"A00, A01, D01",Đại trà,
NLU,2022,KTE,Kế toán,7340301,63,23,"A00, A01, D07",Đại trà,
NLU,2022,KHSH,Công nghệ sinh học,7420201,147,19,"A00, A02, B00",Đại trà,
NLU,2022,MTTN,Khoa học môi trường,7440301,87,16,"A00, A01, B00, D07",Đại trà,
NLU,2022,MTTN,Hệ thống thông tin,7480104,40,"21,5","A00, A01, D07",Đại trà,
NLU,2022,CNTT,Công nghệ thông tin,7480201,147,"23,5","A00, A01, D07",Đại trà,
NLU,2022,CK,Công nghệ kỹ thuật cơ khí,7510201,70,"19,5","A00, A01, D07",Đại trà,
NLU,2022,CK,Công nghệ kỹ thuật cơ điện tử,7510203,40,"20,5","A00, A01, D07",Đại trà,
NLU,2022,CK,Công nghệ kỹ thuật ô tô,7510205,64,"22,5","A00, A01, D07",Đại trà,
NLU,2022,CK,Công nghệ kỹ thuật nhiệt,7510206,52,17,"A00, A01, D07",Đại trà,
NLU,2022,CK,Công nghệ kỹ thuật hóa học,7510401,100,20,"A00, A01, B00, D07",Đại trà,
NLU,2022,CK,Công nghệ kỹ thuật năng lượng tái tạo,7519007,40,16,"A00, A01, D07",Đại trà,
NLU,2022,CK,Kỹ thuật điều khiển và tự động hóa,7520216,40,21,"A00, A01, D07",Đại trà,
NLU,2022,MTTN,Kỹ thuật môi trường,7520320,75,16,"A00, A01, B00, D07",Đại trà,
NLU,2022,MTTN,Công nghệ thực phẩm,7540101,218,21,"A00, A01, B00, D08",Đại trà,
NLU,2022,TS,Công nghệ chế biến thủy sản,7540105,49,16,"A00, B00, D07, D08",Đại trà,
NLU,2022,LN,Công nghệ chế biến lâm sản,7549001,155,16,"A00, A01, B00, D01",Đại trà,
NLU,2022,CNTY,Chăn nuôi,7620105,135,16,"A00, B00, D08",Đại trà,
NLU,2022,NH,Bảo vệ thực vật,7620112,100,17,"A00, B00, D08",Đại trà,
NLU,2022,KTE,Kinh doanh nông nghiệp,7620114,75,17,"A00, A01, D01",Đại trà,
NLU,2022,NH,Nông học,7620109,232,17,"A00, B00, D08",Đại trà,
NLU,2022,KTE,Phát triển nông thôn,7620116,40,16,"A00, A01, D01",Đại trà,
NLU,2022,LN,Lâm học,7620201,80,16,"A00, B00, D01, D08",Đại trà,
NLU,2022,LN,Lâm nghiệp đô thị,7620202,40,16,"A00, B00, D01, D08",Đại trà,
NLU,2022,LN,Quản lý tài nguyên rừng,7620211,60,16,"A00, B00, D01, D08",Đại trà,
NLU,2022,TS,Nuôi trồng thủy sản,7620301,160,16,"A00, B00, D07, D08",Đại trà,
NLU,2022,CNTY,Thú y,7640101,147,23,"A00, B00, D07, D08",Đại trà,
NLU,2022,MTTN,Quản lý tài nguyên và môi trường,7850101,85,16,"A00, A01, B00, D07",Đại trà,
NLU,2022,QLDD,Quản lý đất đai,7850103,140,"18,5","A00, A01, D01",Đại trà,
NLU,2022,MTTN,Tài nguyên và du lịch sinh thái,7859002,40,17,"A00, A01, B00, D08",Đại trà,
NLU,2022,MTTN,Cảnh quan và kỹ thuật hoa viên,7859007,95,16,"A00, B00, D07, D08",Đại trà,
NLU,2022,CNHHTP,Công nghệ thực phẩm,7540101T,30,21,"A00, A01, B00, D08",Tiên tiến,
NLU,2022,CNTY,Thú y,7640101T,30,23,"A00, B00, D07, D08",Tiên tiến,
NLU,2022,KTE,Quản trị kinh doanh,7340101C,60,"19,5","A00, A01, D01",CLC,
NLU,2022,KHSH,Công nghệ sinh học,7420201C,30,17,"A01, D07, D08",CLC,
NLU,2022,CK,Công nghệ kỹ thuật cơ khí,7510201C,30,"17,75","A00, A01, D07",CLC,
NLU,2022,CNHHTP,Công nghệ thực phẩm,7540101C,120,18,"A00, A01, B00, D08",CLC,
NLU,2023,NNSP,Sư phạm Kỹ thuật nông nghiệp *,7140215,45,19,"A00, A01, B00, D08",Đại trà,"Ngoài điều kiện điểm chuẩn, thí sinh phải thỏa điều kiện đảm bảo chất lượng đầu vào theo quy định hiện hành của Bộ Giáo dục và Đào tạo"
NLU,2023,NNSP,Ngôn ngữ Anh **,7220201,126,23,"A01, D01, D14, D15",Đại trà,"Môn chính là Tiếng Anh (môn Năng khiếu), nhân hệ số 2, quy về thang điểm 30 theo quy định"
NLU,2023,KTE,Kinh tế,7310101,155,"22,25","A00, A01, D01",Đại trà,
NLU,2023,KTE,Quản trị kinh doanh,7340101,210,"22,25","A00, A01, D01",Đại trà,
NLU,2023,KTE,Bất động sản,7340116,74,20,"A00, A01, A04, D01",Đại trà,
NLU,2023,KTE,Kế toán,7340301,109,23,"A00, A01, D01",Đại trà,
NLU,2023,KHSH,Công nghệ sinh học,7420201,157,"22,25","A00, A02, B00",Đại trà,
NLU,2023,MTTN,Khoa học môi trường,7440301,50,16,"A00, A01, B00, D07",Đại trà,
NLU,2023,MTTN,Hệ thống thông tin,7480104,100,"21,5","A00, A01, D07",Đại trà,
NLU,2023,CNTT,Công nghệ thông tin,7480201,270,23,"A00, A01, D07",Đại trà,
NLU,2023,CK,Công nghệ kỹ thuật cơ khí,7510201,91,"21,5","A00, A01, D07",Đại trà,
NLU,2023,CK,Công nghệ kỹ thuật cơ điện tử,7510203,30,"21,5","A00, A01, D07",Đại trà,
NLU,2023,CK,Công nghệ kỹ thuật ô tô,7510205,70,23,"A00, A01, D07",Đại trà,
NLU,2023,CK,Công nghệ kỹ thuật nhiệt,7510206,45,"18,5","A00, A01, D07",Đại trà,
NLU,2023,CK,Công nghệ kỹ thuật hoá học,7510401,80,23,"A00, A01, B00, D07",Đại trà,
NLU,2023,CK,Công nghệ kỹ thuật năng lượng tái tạo,7519007,30,16,"A00, A01, D07",Đại trà,
NLU,2023,CK,Kỹ thuật điều khiển và tự động hoá,7520216,70,22,"A00, A01, D07",Đại trà,
NLU,2023,MTTN,Kỹ thuật môi trường,7520320,45,16,"A00, A01, B00, D07",Đại trà,
NLU,2023,CNHHTP,Công nghệ thực phẩm,7540101,250,"21,25","A00, A01, B00, D08",Đại trà,
NLU,2023,TS,Công nghệ chế biến thuỷ sản,7540105,59,16,"A00, B00, D07, D08",Đại trà,
NLU,2023,LN,Công nghệ chế biến lâm sản,7549001,100,16,"A00, A01, B00, D01",Đại trà,
NLU,2023,CNTY,Chăn nuôi,7620105,140,16,"A00, B00, D07, D08",Đại trà,
NLU,2023,NH,Nông học,7620109,119,17,"A00, B00, D08",Đại trà,
NLU,2023,NH,Bảo vệ thực vật,7620112,100,17,"A00, B00, D08",Đại trà,
NLU,2023,KTE,Kinh doanh nông nghiệp,7620114,100,17,"A00, A01, D01",Đại trà,
NLU,2023,KTE,Phát triển nông thôn,7620116,50,16,"A00, A01, D01",Đại trà,
NLU,2023,LN,Lâm học,7620201,50,16,"A00, B00, D01, D08",Đại trà,
NLU,2023,LN,Lâm nghiệp đô thị,7620202,50,16,"A00, B00, D01, D08",Đại trà,
NLU,2023,MTTN,Quản lý tài nguyên rừng,7620211,50,16,"A00, B00, D01, D08",Đại trà,
NLU,2023,TS,Nuôi trồng thuỷ sản,7620301,120,16,"A00, B00, D07, D08",Đại trà,
NLU,2023,CNTY,Thú y,7640101,167,24,"A00, B00, D07, D08",Đại trà,
NLU,2023,MTTN,Quản lý tài nguyên và môi trường,7850101,80,"16,5","A00, A01, B00, D07",Đại trà,
NLU,2023,QLDD,Quản lý đất đai,7850103,170,"18,75","A00, A01, A04, D01",Đại trà,
NLU,2023,MTTN,Tài nguyên và du lịch sinh thái,7859002,40,19,"A00, B00, D01, D08",Đại trà,
NLU,2023,MTTN,Cảnh quan và kỹ thuật hoa viên,7859007,50,16,"A00, B00, D07, D08",Đại trà,
NLU,2023,CNHHTP,Công nghệ thực phẩm,7540101T,30,"21,25","A00, A01, B00, D08",Tiên tiến,
NLU,2023,CNTY,Thú y,7640101T,30,25,"A00, B00, D07, D08",Tiên tiến,
NLU,2023,KTE,Quản trị kinh doanh,7340101C,40,"22,25","A00, A01, D01",CLC,
NLU,2023,KHSH,Công nghệ sinh học,7420201C,30,"22,25","A01, D07, D08",CLC,
NLU,2023,CK,Công nghệ kỹ thuật cơ khí,7510201C,30,"21,5","A00, A01, D07",CLC,
NLU,2023,CNHHTP,Công nghệ thực phẩm,7540101C,60,"21,25","A00, A01, B00, D08",CLC,
NLU,2024,NNSP,Sư phạm Kỹ thuật nông nghiệp,7140215,30,"22,5","A00, A01, B00, D08",Đại  trà,
NLU,2024,NNSP,Ngôn ngữ Anh,7220201,250,"23,75","A01, D01, D14, D15",Đại  trà,"Môn chính là Tiếng Anh (nhân hệ số 2), điểm chuẩn trúng tuyển được quy về hệ điểm 30 dành cho tổ hợp môn xét tuyển, công thức tính:
Điểm xét tuyển = [(Điểm môn 1 + Điểm môn 2 + (Điểm Tiếng Anh x 2)) x 3/4 ] + điểm ưu tiên (nếu có), làm tròn đến 2 số lẻ thập phân."
NLU,2024,KTE,Kinh tế,7310101,200,"22,5","A00, A01, D01",Đại  trà,
NLU,2024,KTE,Quản trị kinh doanh,7340101,240,"22,75","A00, A01, D01",Đại  trà,
NLU,2024,KTE,Bất động sản,7340116,90,"19,75","A00, A01, A04, D01",Đại  trà,
NLU,2024,KTE,Kế toán,7340301,130,23,"A00, A01, D01",Đại  trà,
NLU,2024,KHSH,Công nghệ sinh học,7420201,190,"23,25","A00, A02, B00",Đại  trà,
NLU,2024,MTTN,Khoa học môi trường,7440301,50,"17,25","A00, A01, B00, D07",Đại  trà,
NLU,2024,MTTN,Hệ thống thông tin,7480104,110,"21,25","A00, A01, D07",Đại  trà,
NLU,2024,CNTT,Công nghệ thông tin,7480201,300,"22,25","A00, A01, D07",Đại  trà,
NLU,2024,CK,Công nghệ kỹ thuật cơ khí,7510201,120,"22,5","A00, A01, A02, D90",Đại  trà,
NLU,2024,CK,Công nghệ kỹ thuật cơ điện tử,7510203,80,"23,75","A00, A01, A02, D90",Đại  trà,
NLU,2024,CK,Công nghệ kỹ thuật ô tô,7510205,80,"23,75","A00, A01, A02, D90",Đại  trà,
NLU,2024,CK,Công nghệ kỹ thuật nhiệt,7510206,60,"21,75","A00, A01, A02, D90",Đại  trà,
NLU,2024,CK,Công nghệ kỹ thuật hoá học,7510401,110,"23,25","A00, A01, B00, D07",Đại  trà,
NLU,2024,CK,Công nghệ kỹ thuật năng lượng tái tạo,7519007,50,"19,5","A00, A01, A02, D90",Đại  trà,
NLU,2024,TS,Công nghệ chế biến thuỷ sản,7540105,64,16,"A00, A01, B00, D08",Đại  trà,
NLU,2024,LN,Công nghệ chế biến lâm sản,7549001,110,16,"A00, A01, B00, D01",Đại  trà,
NLU,2024,NH,Nông học,7620109,160,17,"A00, B00, D07, D08",Đại  trà,
NLU,2024,CK,Kỹ thuật điều khiển và tự động hoá,7520216,80,"23,5","A00, A01, A02, D90",Đại  trà,
NLU,2024,MTTN,Kỹ thuật môi trường,7520320,60,16,"A00, A01, B00, D07",Đại  trà,
NLU,2024,CNHHTP,Công nghệ thực phẩm,7540101,275,"22,5","A00, A01, B00, D08",Đại  trà,
NLU,2024,CNTY,Chăn nuôi,7620105,140,16,"A00, B00, D07, D08",Đại  trà,
NLU,2024,NH,Bảo vệ thực vật,7620112,100,17,"A00, B00, D07, D08",Đại  trà,
NLU,2024,KTE,Kinh doanh nông nghiệp,7620114,100,18,"A00, A01, D01",Đại  trà,
NLU,2024,KTE,Phát triển nông thôn,7620116,40,16,"A00, A01, D01",Đại  trà,
NLU,2024,LN,Lâm học,7620201,50,16,"A00, B00, D01, D08",Đại  trà,
NLU,2024,LN,Lâm nghiệp đô thị,7620202,50,16,"A00, B00, D01, D08",Đại  trà,
NLU,2024,LN,Quản lý tài nguyên rừng,7620211,50,16,"A00, B00, D01, D08",Đại  trà,
NLU,2024,TS,Nuôi trồng thuỷ sản,7620301,140,16,"A00, B00, D07, D08",Đại  trà,
NLU,2024,CNTY,Thú y,7640101,265,"24,5","A00, B00, D07, D08",Đại  trà,
NLU,2024,MTTN,Quản lý tài nguyên và môi trường,7850101,90,20,"A00, A01, B00, D07",Đại  trà,
NLU,2024,QLDD,Quản lý đất đai,7850103,190,"21,25","A00, A01, A04, D01",Đại  trà,
NLU,2024,MTTN,Tài nguyên và du lịch sinh thái,7859002,70,"19,5","A00, B00, D01, D08",Đại  trà,
NLU,2024,MTTN,Cảnh quan và kỹ thuật hoa viên,7859007,50,16,"A00, B00, D07, D08",Đại  trà,
NLU,2024,CNTY,Thú y (Chương Trình Tiên Tiến),7640101T,50,25,"A00, B00, D07, D08",Tiên tiến,
NLU,2024,CNHHTP,Công nghệ thực phẩm (Chương Trình Tiên Tiến),7540101T,40,"22,5","A00, A01, B00, D08",Tiên tiến,
NLU,2024,KTE,Quản trị kinh doanh (Chương trình nâng cao),7340101C,50,"22,75","A00, A01, D01",CLC,
NLU,2024,KHSH,Công nghệ sinh học (Chương trình nâng cao),7420201C,30,"23,25","A01, D07, D08",CLC,
NLU,2024,CK,Công nghệ kỹ thuật cơ khí (Chương trình nâng cao),7510201C,40,"22,5","A00, A01, A02, D90",CLC,
NLU,2024,CNHHTP,Công nghệ kỹ thuật hóa học (Chương trình nâng cao),7510401C,30,"23,25","A00, A01, B00, D07",CLC,
NLU,2024,CNHHTP,Công nghệ thực phẩm (Chương trình nâng cao),7540101C,80,"22,5","A00, B00, B00, D08",CLC,
NLU,2024,CNTY,Chăn nuôi (Chương trình nâng cao),7620105C,30,16,"A00, B00, D07, D08",CLC,
NLU,2025,CK,Công nghệ kỹ thuật cơ khí,7510201,96,23.10,"A00, A01, A02, C01, X06, X07",Đại trà,
NLU,2025,CK,Công nghệ kỹ thuật cơ khí (Chương trình nâng cao),7510201C,30,23.10,"A00, A01, A02, C01, X06, X08",CLC,
NLU,2025,CK,Công nghệ kỹ thuật cơ – điện tử,7510203,80,23.75,"A00, A01, A02, C01, X06, X09",Đại trà,
NLU,2025,CK,Công nghệ kỹ thuật ô tô,7510205,80,23.50,"A00, A01, A02, C01, X06, X10",Đại trà,
NLU,2025,CK,Công nghệ kỹ thuật nhiệt,7510206,60,22.50,"A00, A01, A02, C01, X06, X11",Đại trà,
NLU,2025,CK,Công nghệ kỹ thuật năng lượng tái tạo,7519007,50,22.50,"A00, A01, A02, C01, X06, X12",Đại trà,
NLU,2025,CK,Kỹ thuật điều khiển và tự động hóa,7520216,59,24.20,"A00, A01, A02, C01, X06, X13",Đại trà,
NLU,2025,CNHHTP,Công nghệ kỹ thuật hóa học,7510401,100,23.85,"A00, A01, A02, B00, D08, D07",Đại trà,
NLU,2025,CNHHTP,Công nghệ kỹ thuật hóa học (Chương trình nâng cao),7510401C,40,23.85,"A00, A01, A02, B00, D08, D08",CLC,
NLU,2025,CNHHTP,Công nghệ thực phẩm,7540101,183,23.65,"A00, A01, A02, B00, D07, D08",Đại trà,
NLU,2025,CNHHTP,Công nghệ thực phẩm (Chương trình nâng cao),7540101C,50,23.65,"A00, A01, A02, B00, D07, D08",CLC,
NLU,2025,CNHHTP,Công nghệ thực phẩm (Chương trình tiên tiến),7540101T,40,23.65,"A00, A01, A02, B00, D07, D08",Tiên tiến,
NLU,2025,CNHHTP,Đảm bảo chất lượng và An toàn thực phẩm,7540106,40,22.00,"A00, A01, A02, B00, D07, D08",Đại trà,
NLU,2025,CNTT,Công nghệ thông tin,7480201,210,23.22,"A00, A01, D07, X06, X10, X07",Đại trà,
NLU,2025,CNTT,Công nghệ thông tin (Chương trình nâng cao),7480201C,30,23.22,"A00, A01, D07, X06, X10, X07",CLC,
NLU,2025,CNTY,Chăn nuôi,7620105,160,20.26,"A00, B00, B03, C02, D07, D08",Đại trà,
NLU,2025,CNTY,Chăn nuôi (Chương trình nâng cao),7620105C,40,20.26,"A00, B00, B03, C02, D07, D08",CLC,
NLU,2025,CNTY,Thú y,7640101,178,24.65,"A00, B00, B03, C02, D07, D08",Đại trà,
NLU,2025,CNTY,Thú y (Chương trình tiên tiến),7640101T,50,24.65,"A00, B00, B03, C02, D07, D08",Tiên tiến,
NLU,2025,KHSH,Công nghệ sinh học,7420201,181,23.55,"A00, A02, B00, D07, D08, X14",Đại trà,
NLU,2025,KHSH,Công nghệ sinh học (Chương trình nâng cao),7420201C,30,23.55,"A00, A02, B00, D07, D08, X14",CLC,
NLU,2025,KTE,Kinh tế,7310101,120,22.80,"A00, A01, D01, X01, X02, X25",Đại trà,
NLU,2025,KTE,Kinh tế (Chương trình nâng cao),7310101C,40,22.80,"A00, A01, D01, X01, X02, X25",CLC,
NLU,2025,KTE,Quản trị kinh doanh,7340101,250,22.70,"A00, A01, D01, X01, X02, X25",Đại trà,
NLU,2025,KTE,Quản trị kinh doanh (Chương trình nâng cao),7340101C,50,22.70,"A00, A01, D01, X01, X02, X25",CLC,
NLU,2025,KTE,Kế toán,7340301,155,23.00,"A00, A01, D01, X01, X02, X25",Đại trà,
